"mean absolute percentage error","root mean squared error","R^2","# of layer","#of node","mean absolute percentage error (#1)","root mean squared error (#1)","R^2 (#1)","iteration","# of layer (#1)","#of node (#1)"
0.45721812138641144,3184.034820440627,0.8558920601281876,2,3,0.42816026094680504,4813.250952577614,0.6501696361595478,0,2,3
0.49667389518189586,3057.0844492476754,0.8671544031282373,2,4,0.4660799023753732,4863.662873501813,0.6428033156550268,1,2,4
0.43916900490019256,3223.1878953655173,0.8523261697464453,2,5,0.41236987599060354,4886.818130102967,0.6393940870047041,2,2,5
0.44685695412048715,3026.8258108626333,0.8697711666275838,2,6,0.4283525290184423,4859.291529398326,0.6434451068205047,3,2,6
0.48333608170095066,3038.0434321303196,0.8688041042056536,2,7,0.4382135872859105,4914.357717586041,0.6353182566192919,4,2,7
0.46792968122561795,2981.0948142731827,0.8736765812205922,2,8,0.4316179934179685,4824.512414432579,0.6485307396889337,5,2,8
0.4812691794023577,2815.9845075962426,0.8872821192192186,2,9,0.44193354427426157,4810.922843185674,0.6505079714741333,6,2,9
0.46691805455760715,2912.746144543395,0.8794027055237837,2,10,0.4242243617468693,4675.41632748164,0.6699185874455025,7,2,10
0.45818221671953546,2933.571443901469,0.8776720686634472,2,11,0.41781195585160097,4759.565752280901,0.6579298700691062,8,2,11
0.4119683390766652,2803.0993428382353,0.8883112907913997,2,12,0.41425235139958977,4755.272077074201,0.658546764814136,9,2,12
0.44950838058391696,2889.086294236904,0.8813539400279102,2,13,0.4349150221199449,4756.947720780903,0.6583060825725902,10,2,13
0.4084268894934895,2843.57292084629,0.8850626890434369,2,14,0.4165826667685293,4732.742615796317,0.661774565031175,11,2,14
0.4239162301377458,2951.7240662020868,0.8761534807519364,2,15,0.41398378562014637,4807.562733144964,0.6509959949224902,12,2,15
0.491327638857034,2833.503416505053,0.8858752671561513,2,16,0.4442660786794397,4736.775503283632,0.6611978988588555,13,2,16
0.42892677596494,2859.2083189349323,0.8837952474708223,2,17,0.4080914726235178,4732.772791352745,0.6617702520253481,14,2,17
0.39060396395803576,2758.695642428975,0.8918217702218217,2,18,0.40125078032397954,4688.934801796411,0.6680070365712794,15,2,18
0.4060386831502574,2743.9217568948548,0.8929773404374945,2,19,0.4041375983312641,4659.797168134432,0.672120309035706,16,2,19
0.39328246983414145,2735.5461799789123,0.8936296975682333,2,20,0.4138627452343948,4660.888266799004,0.6719667439925123,17,2,20
0.4273203154299089,2794.0591290456964,0.8890305386824042,2,21,0.41490530960096556,4728.623872061781,0.6623630008859391,18,2,21
0.3786669960431585,2852.390214394949,0.8843487933498008,2,22,0.3968413257968404,4722.197799922976,0.6632800564622046,19,2,22
0.38320185033234017,2834.4318053032225,0.8858004696596012,2,23,0.402752160007917,4748.256932251361,0.6595534693763272,20,2,23
0.39664246132546566,2791.170457185674,0.889259874312703,2,24,0.4013861024931472,4759.173095034879,0.6579863083165031,21,2,24
0.3956386519314718,2787.236684828051,0.8895718004197563,2,25,0.416542964578368,4748.531859463942,0.6595140440770115,22,2,25
0.5912660224788002,3510.7292174126405,0.8248028811339302,3,3,0.4949622727908625,5043.31672953518,0.6159277073495091,23,3,3
0.4364800137996351,3262.1184200973235,0.8487373384484804,3,4,0.4231009216708532,4932.080415028774,0.632683202915945,24,3,4
0.5117896106093067,3172.2503510305396,0.8569568053490726,3,5,0.4664121498941343,4923.742318117214,0.6339241129978268,25,3,5
0.6087813350042737,3252.2339260809604,0.8496526268948534,3,6,0.490667142444754,4874.527382514618,0.6412057127170081,26,3,6
0.5062462347240237,3159.7370638643165,0.8580830785408771,3,7,0.4455711881371876,4887.517111340871,0.639290921801055,27,3,7
0.4960452459001823,3009.9427599768123,0.8712198976129492,3,8,0.4568205270029919,4813.324174975839,0.6501589923708495,28,3,8
0.3685429795383966,2928.1640601859867,0.8781226214702581,3,9,0.40262497947641246,4767.4461335814385,0.6567962058758061,29,3,9
0.45597061115772164,2921.045845254028,0.8787144564044638,3,10,0.43800494567936993,4821.798725516781,0.6489260169371742,30,3,10
0.4452913236227567,2880.7316377524007,0.8820391489347514,3,11,0.4318878251808408,4786.272597729384,0.654080256293553,31,3,11
0.446126428794766,2909.45107729376,0.87967540448773,3,12,0.4391889328602808,4786.2187943887175,0.6540880333404442,32,3,12
0.43885471966877143,2732.3738537509503,0.8938762630568782,3,13,0.4294780578526995,4751.363382998746,0.659107863190793,33,3,13
0.400778741015367,2810.484718432326,0.8877219790283921,3,14,0.4164401865877606,4791.002404017973,0.6533962410139349,34,3,14
